City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Tupik,RU,2022-04-20 22:53:24,54.4253,119.9327,25.47,59,42,2.91
130,Gizo,SB,2022-04-20 22:53:25,-8.103,156.8419,83.68,74,67,7.96
131,Piacabucu,BR,2022-04-20 22:53:25,-10.4056,-36.4344,78.04,74,25,6.2
132,Paamiut,GL,2022-04-20 22:53:26,61.994,-49.6678,25.75,68,100,11.79
133,Caravelas,BR,2022-04-20 22:52:44,-17.7125,-39.2481,75.07,73,1,6.51
134,Salalah,OM,2022-04-20 22:49:25,17.0151,54.0924,80.69,78,40,4.61
135,Vaini,TO,2022-04-20 22:53:26,-21.2,-175.2,82.56,78,75,9.22
136,Male,MV,2022-04-20 22:52:05,4.1748,73.5089,83.61,72,59,6.17
137,Nova Borova,UA,2022-04-20 22:53:27,50.693,28.6345,40.35,83,100,6.82
138,Kavieng,PG,2022-04-20 22:53:42,-2.5744,150.7967,85.01,71,71,14.67
139,Ambur,IN,2022-04-20 22:54:27,12.7833,78.7,77.97,88,2,2.44
140,Severo-Kurilsk,RU,2022-04-20 22:54:28,50.6789,156.125,35.55,96,86,9.84
141,Carnarvon,AU,2022-04-20 22:54:28,-24.8667,113.6333,64.47,48,83,8.05
142,The Valley,AI,2022-04-20 22:54:29,18.217,-63.0578,80.46,65,20,12.66
143,Ponta Do Sol,PT,2022-04-20 22:49:34,32.6667,-17.1,61.72,63,22,6.91
144,Inhambane,MZ,2022-04-20 22:54:29,-23.865,35.3833,72.41,86,100,10.71
145,High Prairie,CA,2022-04-20 22:54:30,55.4334,-116.4858,40.69,56,100,2.8
146,Rodrigues Alves,BR,2022-04-20 22:54:30,-7.738,-72.6509,77.2,97,90,1.23
147,Canto Do Buriti,BR,2022-04-20 22:54:31,-8.11,-42.9444,78.67,57,27,3.24
148,Leyland,GB,2022-04-20 22:54:31,53.6979,-2.6876,50.94,73,41,1.01
149,Bubaque,GW,2022-04-20 22:54:31,11.2833,-15.8333,75.94,77,95,18.34
150,Hilo,US,2022-04-20 22:54:32,19.7297,-155.09,83.28,85,95,8.01
151,Yulara,AU,2022-04-20 22:54:32,-25.2406,130.9889,57.04,44,19,5.75
152,San Jeronimo,PE,2022-04-20 22:54:33,-11.9472,-75.2829,53.22,72,85,5.93
153,Port Macquarie,AU,2022-04-20 22:54:24,-31.4333,152.9167,67.89,67,19,5.48
154,Sterling,US,2022-04-20 22:50:45,39.0062,-77.4286,61.16,33,20,5.75
155,Grindavik,IS,2022-04-20 22:52:57,63.8424,-22.4338,46.35,93,75,6.91
156,Hanyang,CN,2022-04-20 22:54:34,32.1371,105.5126,56.35,79,45,2.13
157,Ancud,CL,2022-04-20 22:54:34,-41.8697,-73.8203,51.22,79,100,14.47
158,Kautokeino,NO,2022-04-20 22:54:35,69.0125,23.0412,35.06,92,99,3.44
159,Buchanan,LR,2022-04-20 22:54:35,5.8808,-10.0467,79.74,85,82,6.22
160,Pozo Colorado,PY,2022-04-20 22:54:36,-23.4923,-58.7972,78.82,44,0,5.3
161,Lebu,CL,2022-04-20 22:54:36,-37.6167,-73.65,51.66,83,3,7.54
162,Bathsheba,BB,2022-04-20 22:54:36,13.2167,-59.5167,79.41,65,20,17.27
163,Arlit,NE,2022-04-20 22:54:34,18.7369,7.3853,84.9,13,62,2.77
164,Havoysund,NO,2022-04-20 22:54:37,70.9963,24.6622,39.43,89,33,11.7
165,New Norfolk,AU,2022-04-20 22:52:53,-42.7826,147.0587,51.3,68,37,1.01
166,Kloulklubed,PW,2022-04-20 22:54:37,7.0419,134.2556,73.9,85,100,14.41
167,Kualakapuas,ID,2022-04-20 22:54:38,-3.0091,114.3876,74.61,96,97,0.63
168,Hauterive,FR,2022-04-20 22:54:38,46.0901,3.4459,54.75,93,100,3.8
169,Svetlaya,RU,2022-04-20 22:54:39,46.5389,138.3297,52.95,61,100,13.22
170,San Juan,AR,2022-04-20 22:54:39,-31.5375,-68.5364,67.8,46,4,15.01
171,Jalu,LY,2022-04-20 22:54:40,29.0331,21.5482,66.33,24,0,6.6
172,Mogadishu,SO,2022-04-20 22:54:40,2.0371,45.3438,82.63,70,89,12.15
173,Vega De Alatorre,MX,2022-04-20 22:54:40,20.0333,-96.6333,85.08,68,0,21.12
174,Touros,BR,2022-04-20 22:54:41,-5.1989,-35.4608,79.5,82,86,10.45
175,Marawi,PH,2022-04-20 22:54:41,7.9986,124.2928,72.52,87,94,1.12
176,Maricao,PR,2022-04-20 22:54:42,18.1808,-66.9799,74.71,89,100,2.51
177,Myitkyina,MM,2022-04-20 22:54:42,25.3833,97.4,67.3,94,98,2.35
178,Kavaratti,IN,2022-04-20 22:50:05,10.5669,72.642,83.91,75,6,11.7
179,Rawson,AR,2022-04-20 22:53:11,-43.3002,-65.1023,58.35,36,95,8.14
180,Katangli,RU,2022-04-20 22:54:43,51.7102,143.2326,35.74,96,100,8.48
181,Halden,NO,2022-04-20 22:54:43,59.1226,11.3871,46.83,69,30,7.31
182,Whitecourt,CA,2022-04-20 22:50:20,54.1502,-115.6855,38.44,70,75,5.75
183,Tezu,IN,2022-04-20 22:54:44,27.9167,96.1667,66.96,86,50,3.02
184,Kahului,US,2022-04-20 22:53:34,20.8947,-156.47,84.22,45,20,26.46
185,Doha,QA,2022-04-20 22:50:53,25.2867,51.5333,76.89,63,0,8.05
186,Vestmannaeyjar,IS,2022-04-20 22:55:45,63.4427,-20.2734,46.26,90,100,16.6
187,Hambantota,LK,2022-04-20 22:55:45,6.1241,81.1185,78.69,85,7,2.98
188,Nanning,CN,2022-04-20 22:55:45,22.8167,108.3167,64.85,85,20,3.31
189,Taoudenni,ML,2022-04-20 22:55:46,22.6783,-3.9836,87.91,13,2,11.01
190,Collie,AU,2022-04-20 22:55:46,-33.3667,116.15,50.68,96,8,6.42
191,Airai,TL,2022-04-20 22:55:47,-8.9266,125.4092,63.86,80,86,2.89
192,Bara,NG,2022-04-20 22:55:47,10.3744,10.7288,87.62,20,92,3.74
193,Emerald,AU,2022-04-20 22:55:48,-23.5333,148.1667,72.34,43,53,16.11
194,Aklavik,CA,2022-04-20 22:55:48,68.2191,-135.0107,23.0,58,0,5.75
195,Mayskiy,RU,2022-04-20 22:55:49,47.6931,40.1025,42.21,87,0,6.11
196,Sakakah,SA,2022-04-20 22:55:49,29.9697,40.2064,71.17,26,0,10.16
197,Saint-Philippe,RE,2022-04-20 22:55:50,-21.3585,55.7679,76.59,85,77,4.05
198,Karatau,KZ,2022-04-20 22:55:50,43.1667,70.4667,56.88,68,98,2.37
199,College,US,2022-04-20 22:53:42,64.8569,-147.8028,44.22,36,12,1.01
200,Ningxiang,CN,2022-04-20 22:55:50,37.34,111.2052,54.68,37,39,4.29
201,Karangampel,ID,2022-04-20 22:55:51,-6.4622,108.4519,78.64,85,98,6.22
202,Kirakira,SB,2022-04-20 22:55:51,-10.4544,161.9205,84.97,72,86,8.12
203,Port Elizabeth,ZA,2022-04-20 22:51:32,-33.918,25.5701,71.31,51,0,5.75
204,Dingle,PH,2022-04-20 22:55:52,10.9995,122.6711,79.47,85,22,7.29
205,Kushmurun,KZ,2022-04-20 22:55:53,52.4503,64.6311,54.16,81,100,8.66
206,Naklo Nad Notecia,PL,2022-04-20 22:55:53,53.1421,17.6018,47.44,97,100,8.12
207,Chuy,UY,2022-04-20 22:55:53,-33.6971,-53.4616,64.89,81,21,10.94
208,Jiuquan,CN,2022-04-20 22:55:54,39.7432,98.5174,46.67,17,87,5.61
209,Sorong,ID,2022-04-20 22:52:32,-0.8833,131.25,79.43,88,89,4.76
210,Tukrah,LY,2022-04-20 22:55:54,32.5341,20.5791,62.47,49,80,5.59
211,Half Moon Bay,US,2022-04-20 22:55:55,37.4636,-122.4286,72.18,51,75,19.57
212,Nova Olimpia,BR,2022-04-20 22:55:55,-14.7972,-57.2881,74.91,72,8,0.58
213,Setermoen,NO,2022-04-20 22:55:56,68.861,18.3486,41.43,86,17,3.0
214,Mount Isa,AU,2022-04-20 22:55:56,-20.7333,139.5,74.97,23,3,9.22
215,Rio Cuarto,AR,2022-04-20 22:51:03,-33.1307,-64.3499,60.57,67,20,14.97
216,Hasaki,JP,2022-04-20 22:55:57,35.7333,140.8333,59.29,81,89,8.34
217,Wuwei,CN,2022-04-20 22:55:57,37.9281,102.6414,50.79,17,100,5.1
218,Castro,BR,2022-04-20 22:55:58,-24.7911,-50.0119,58.33,79,0,3.02
219,Rio Verde De Mato Grosso,BR,2022-04-20 22:55:58,-18.9181,-54.8442,76.75,47,2,3.15
220,Bridlington,GB,2022-04-20 22:55:59,54.0831,-0.1919,46.89,81,79,9.35
221,Turukhansk,RU,2022-04-20 22:55:59,65.8167,87.9833,21.4,95,100,9.57
222,Turaiyur,IN,2022-04-20 22:56:00,11.1667,78.6167,81.66,77,0,3.83
223,Tawau,MY,2022-04-20 22:56:00,4.2498,117.8871,73.53,100,99,2.98
224,Dyersburg,US,2022-04-20 22:53:12,36.0345,-89.3856,61.29,88,100,6.91
225,Torbay,CA,2022-04-20 22:56:01,47.6666,-52.7314,47.28,92,100,32.21
226,Changzhou,CN,2022-04-20 22:56:01,31.7833,119.9667,60.08,93,95,9.55
227,Barrow,US,2022-04-20 22:57:02,71.2906,-156.7887,10.72,89,98,11.07
228,Troitskoye,RU,2022-04-20 22:57:02,52.9821,84.6757,38.05,93,100,4.81
229,Hun,LY,2022-04-20 22:57:03,29.1268,15.9477,70.86,16,32,16.2
230,Kununurra,AU,2022-04-20 22:57:03,-15.7667,128.7333,75.18,78,84,0.0
231,Westport,US,2022-04-20 22:57:04,41.1415,-73.3579,58.01,32,6,3.0
232,Sao Filipe,CV,2022-04-20 22:53:37,14.8961,-24.4956,72.32,80,87,4.14
233,Puerto Lempira,HN,2022-04-20 22:57:04,15.2667,-83.7667,84.34,70,40,0.0
234,Almaznyy,RU,2022-04-20 22:57:05,48.0448,40.045,39.42,87,1,7.36
235,Grand Gaube,MU,2022-04-20 22:57:05,-20.0064,57.6608,76.37,88,100,1.01
236,Ornes,NO,2022-04-20 22:57:06,66.8689,13.7078,40.77,83,11,3.6
237,Qaqortoq,GL,2022-04-20 22:53:56,60.7167,-46.0333,29.71,69,70,5.79
238,Bougouni,ML,2022-04-20 22:57:06,11.417,-7.479,88.34,11,17,5.17
239,Obo,CF,2022-04-20 22:57:07,5.3998,26.4869,69.28,97,91,4.52
240,Novoagansk,RU,2022-04-20 22:57:07,61.9449,76.6625,11.62,93,77,8.1
241,Nampula,MZ,2022-04-20 22:57:08,-15.1165,39.2666,67.42,96,80,4.83
242,Felanitx,ES,2022-04-20 22:57:08,39.4696,3.1483,55.92,82,93,13.91
243,Saldanha,ZA,2022-04-20 22:57:09,-33.0117,17.9442,59.05,90,85,7.18
244,Padang,ID,2022-04-20 22:57:09,-0.9492,100.3543,75.72,93,100,5.55
245,Gunjur,GM,2022-04-20 22:57:10,13.2019,-16.7339,69.87,88,0,9.22
246,Geraldton,AU,2022-04-20 22:57:10,-28.7667,114.6,63.01,55,95,5.75
247,Haines Junction,CA,2022-04-20 22:57:11,60.7522,-137.5108,40.95,30,100,4.61
248,Launceston,AU,2022-04-20 22:57:11,-41.45,147.1667,52.81,69,24,1.14
249,Zhezkazgan,KZ,2022-04-20 22:57:11,47.8043,67.7144,53.13,45,24,3.04
250,Parrita,CR,2022-04-20 22:57:12,9.5201,-84.3225,81.72,72,100,6.82
251,Cowra,AU,2022-04-20 22:57:12,-33.8333,148.6833,62.17,61,82,6.89
252,Abakaliki,NG,2022-04-20 22:57:13,6.3163,8.1169,80.65,77,94,13.11
253,Constitucion,CL,2022-04-20 22:57:13,-35.3333,-72.4167,52.88,75,3,13.96
254,Provideniya,RU,2022-04-20 22:57:14,64.3833,-173.3,32.36,69,0,0.0
